idx,time,x,y,z,angle1,angle2,angle3,target_x,target_y,target_z,target_angle1,target_angle2,target_angle3
13,14:50:57,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:58,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:58,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:59,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:59,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:51:00,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:51:00,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:51:01,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:51:02,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:51:02,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:51:03,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:51:03,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:51:04,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:51:04,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:51:05,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:51:06,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:51:06,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:51:07,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:51:07,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:51:08,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:51:08,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:51:09,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
14,14:51:15,199.0,-15.4,267.6,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:51:16,201.7,-16.6,263.4,0.25,0.37,0.08,200,-15,265,0,0,0
14,14:51:16,201.7,-16.6,263.5,0.21,0.28,0.08,200,-15,265,0,0,0
14,14:51:17,201.7,-16.6,263.5,0.21,0.28,0.08,200,-15,265,0,0,0
14,14:51:18,201.7,-16.6,263.5,0.21,0.28,0.08,200,-15,265,0,0,0
14,14:51:18,201.9,-16.6,260.7,0.52,1.01,0.09,200,-15,265,0,0,0
14,14:51:19,201.9,-16.6,260.7,0.52,1.01,0.09,200,-15,265,0,0,0
14,14:51:19,201.9,-16.6,260.7,0.52,1.01,0.09,200,-15,265,0,0,0
14,14:51:20,201.9,-16.6,260.7,0.52,1.01,0.09,200,-15,265,0,0,0
14,14:51:20,201.9,-16.6,260.7,0.52,1.01,0.09,200,-15,265,0,0,0
14,14:51:21,201.9,-16.6,260.7,0.52,1.01,0.09,200,-15,265,0,0,0
14,14:51:21,201.9,-16.6,260.7,0.52,1.01,0.09,200,-15,265,0,0,0
14,14:51:22,201.9,-16.6,260.7,0.52,1.01,0.09,200,-15,265,0,0,0
14,14:51:23,201.9,-16.6,260.7,0.52,1.01,0.09,200,-15,265,0,0,0
14,14:51:23,201.9,-16.6,260.7,0.52,1.01,0.09,200,-15,265,0,0,0
14,14:51:24,201.9,-16.6,260.7,0.52,1.01,0.09,200,-15,265,0,0,0
14,14:51:24,201.9,-16.6,260.7,0.52,1.01,0.09,200,-15,265,0,0,0
14,14:51:25,199.5,-15.6,264.5,0.08,-0.03,0.08,200,-15,265,0,0,0
14,14:51:25,199.5,-15.6,264.5,0.08,-0.03,0.08,200,-15,265,0,0,0
14,14:51:26,199.5,-15.6,264.5,0.08,-0.03,0.08,200,-15,265,0,0,0
14,14:51:27,199.5,-15.6,264.5,0.08,-0.03,0.08,200,-15,265,0,0,0
14,14:51:27,199.5,-15.6,264.5,0.08,-0.03,0.08,200,-15,265,0,0,0
14,14:51:28,199.5,-15.6,264.5,0.08,-0.03,0.08,200,-15,265,0,0,0
14,14:51:28,199.5,-15.6,264.5,0.08,-0.03,0.08,200,-15,265,0,0,0
14,14:51:29,199.5,-15.6,264.5,0.08,-0.03,0.08,200,-15,265,0,0,0
14,14:51:29,199.5,-15.6,264.5,0.08,-0.03,0.08,200,-15,265,0,0,0
14,14:51:30,199.5,-15.6,264.5,0.08,-0.03,0.08,200,-15,265,0,0,0
14,14:51:31,199.5,-15.6,264.5,0.08,-0.03,0.08,200,-15,265,0,0,0
14,14:51:31,199.5,-15.6,264.5,0.08,-0.03,0.08,200,-15,265,0,0,0
14,14:51:32,199.4,-15.6,264.8,0.04,-0.11,0.08,200,-15,265,0,0,0
14,14:51:32,199.4,-15.6,264.8,0.04,-0.11,0.08,200,-15,265,0,0,0
14,14:51:33,199.4,-15.6,264.8,0.04,-0.11,0.08,200,-15,265,0,0,0
14,14:51:33,199.4,-15.6,264.8,0.04,-0.11,0.08,200,-15,265,0,0,0
14,14:51:34,199.4,-15.6,264.8,0.04,-0.11,0.08,200,-15,265,0,0,0
14,14:51:35,199.4,-15.6,264.8,0.04,-0.11,0.08,200,-15,265,0,0,0
14,14:51:35,199.4,-15.6,264.8,0.04,-0.11,0.08,200,-15,265,0,0,0
14,14:51:36,199.4,-15.6,264.8,0.04,-0.11,0.08,200,-15,265,0,0,0
14,14:51:36,199.4,-15.6,264.8,0.04,-0.11,0.08,200,-15,265,0,0,0
14,14:51:37,199.4,-15.6,264.8,0.04,-0.11,0.08,200,-15,265,0,0,0
14,14:51:37,199.3,-15.5,266.1,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:51:38,199.0,-15.4,267.9,-0.36,-1.08,0.09,200,-15,265,0,0,0
14,14:51:39,199.0,-15.4,267.9,-0.36,-1.08,0.09,200,-15,265,0,0,0
14,14:51:39,199.0,-15.4,267.9,-0.36,-1.08,0.09,200,-15,265,0,0,0
14,14:51:40,199.0,-15.4,267.9,-0.36,-1.08,0.09,200,-15,265,0,0,0
14,14:51:40,199.0,-15.4,267.9,-0.36,-1.08,0.09,200,-15,265,0,0,0
14,14:51:41,199.0,-15.4,267.9,-0.36,-1.08,0.09,200,-15,265,0,0,0
14,14:51:41,199.0,-15.4,267.9,-0.36,-1.08,0.09,200,-15,265,0,0,0
14,14:51:42,199.0,-15.4,267.9,-0.36,-1.08,0.09,200,-15,265,0,0,0
14,14:51:43,199.0,-15.4,267.9,-0.36,-1.08,0.09,200,-15,265,0,0,0
14,14:51:43,199.0,-15.4,267.9,-0.36,-1.08,0.09,200,-15,265,0,0,0
